ima_id	band	rel_a	rel_b	sd_rela	sd_relb	sd_dn	sunzen	sunaz
rad 1 0
K00246DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00247DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00248DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00249DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00250DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00251DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00252DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00253DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00256DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00257DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00258DC	8	1,00	0,00	0,05	0,00	0,20	0,00	0,00
